FileName,ParameterNumberCheck,MethodLengthCheck,NestedIfDepthCheck,NestedTryDepthCheck,FileLengthCheck,MissingSwitchDefaultCheck,CyclomaticComplexityCheck,ClassDataAbstractionCouplingCheck,AnonInnerLengthCheck,ClassFanOutComplexityCheck,BooleanExpressionComplexityCheck
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/api/AttributeService.java,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/report/RowPerProgramEnrollmentDataSetDefinition.java,0.0,4.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/Program.java,0.0,8.999999999999998,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/scheduler/Schedule.java,0.0,1.4,0.0,0.0,5.32,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/patient/impl/BaseHyphenatedIdentifierValidator.java,0.0,19.6,0.0,0.0,3.14,0.0,2.5,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/LocationTag.java,0.0,2.0,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/attribute/handler/RegexValidatedStringAttributeHandler.java,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/DrugIngredient.java,0.0,1.4,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/hl7/HL7InArchive.java,0.0,1.2,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/scheduler/web/controller/SchedulerFormValidator.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/PatientIdentifier.java,0.0,14.6,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/ConceptDatatype.java,0.0,1.4,0.0,0.0,4.98,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/web/controller/concept/ConceptDrugFormController.java,0.0,16.4,0.0,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/api/handler/RequireVoidReasonSaveHandler.java,0.0,1.4,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/arden/Conclude.java,0.0,3.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/web/taglib/FieldGenTag.java,0.0,60.400000000000006,41.0,0.0,9.52,0.0,7.6,0.0,0.0,0.0,1.3333333333333333
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/notification/web/dwr/AlertListItem.java,0.0,1.6,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/web/servlet/AuditServlet.java,0.0,10.4,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/web/controller/concept/ConceptStopWordFormController.java,0.0,4.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/web/dwr/DWRObsService.java,0.0,34.6,0.0,0.0,6.3,0.0,2.3,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/web/taglib/fieldgen/ConceptHandler.java,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/web/dwr/ConceptListItem.java,0.0,14.6,1.5,0.0,6.74,0.0,1.1,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/validator/RequireNameValidator.java,0.0,2.4,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/web/controller/ForgotPasswordFormController.java,0.0,22.6,0.0,0.0,3.76,0.0,1.9,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/web/servlet/QuickReportServlet.java,0.0,57.8,0.0,0.0,7.02,0.0,3.7,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/notification/NoteType.java,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/scheduler/SchedulerUtil.java,0.0,28.000000000000004,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/util/Format.java,0.0,5.6000000000000005,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/api/ConceptStopWordException.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/web/taglib/fieldgen/StringHandler.java,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/web/src/main/java/org/openmrs/web/controller/patient/PatientFormController.java,0.0,125.80000000000001,154.5,0.0,15.2,0.0,16.200000000000003,1.8,0.0,1.4666666666666666,4.666666666666667
/Users/srivatsa/proj/sip/openmrs/workspace/gitbase/openmrs/api/src/main/java/org/openmrs/api/db/ActiveListDAO.java,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0
